UPC	RECEIPT ALIAS	ITEM NAME	BRAND	SIZE	COST	SUID	VENDOR	UOM	PACK
011443260234	ALTA MARIA VNYRDS BIEN NACIDO 13	ALTA MARIA VNYRDS BIEN NACIDO 13	ALTA MARIA VINEYARDS	750 ML	39	125412	PINNACLE IMPORTS	CS	12	
011443260234	CARTLIDGE  BROWNE CAB SAUV 16	CARTLIDGE & BROWNE CAB SAUV 16	VINTAGE WINE ESTATES	750 ML	10.5	100440	PINNACLE IMPORTS	CS	12	
011443321010	ALTA MARIA VNYRDS CHRDNY 2013	ALTA MARIA VNYRDS CHRDNY 2013	ALTA MARIA VINEYARDS	750 ML	23.25	125410	PINNACLE IMPORTS	CS	12	
012086001314	HAKUTSURU SAKE NIGORI SAYURI	HAKUTSURU SAKE NIGORI SAYURI 6PK	SAKE ONE	720 ML	12	107670	PINNACLE IMPORTS	CS	6	
012086005589	HAKUTSURU ORG JUNMAI SAKE 300ML	HAKUTSURU ORG JUNMAI SAKE 300ML	SAKE ONE	300 ML	7.5	107620	PINNACLE IMPORTS	CS	12	
012086005848	CH LEYTRIE LIDEYRE 2009	CH. LEYTRIE (LIDEYRE) 2009	PINNACLE IMPORTS	750 ML	18	117390	PINNACLE IMPORTS	CS	12	
012086006418	CH PLINCE POMEROL 2010	CH. PLINCE POMEROL 2010	DREYFUS - ASHBY	750 ML	51.25	11391010	PINNACLE IMPORTS	CS	12	
012086006494	CH BELAIR ST EMILION 2014	CH. BELAIR ST EMILION 2014 6PK	DREYFUS - ASHBY	750 ML	121	11324010	PINNACLE IMPORTS	CS	6	
012086009136	DDO ROSEROCK CHARD 2014	DDO ROSEROCK CHARD 2014	DREYFUS - ASHBY	750 ML	30	122732	PINNACLE IMPORTS	CS	6	
012086009150	DDO ROSEROCK PN NOIR 2014	DDO ROSEROCK PINOT NOIR 2014	DREYFUS - ASHBY	750 ML	30	122731	PINNACLE IMPORTS	CS	6	
012086064258	CH LATOUR A POMEROL 2014	CH. LATOUR A POMEROL 2014	DREYFUS - ASHBY	750 ML	100	11371010	PINNACLE IMPORTS	CS	12	
012086274411	HAKUTSURU PLUM WINE	HAKUTSURU PLUM WINE	SAKE ONE	750 ML	11.25	107671	PINNACLE IMPORTS	CS	12	
012086312014	DROUHIN MACON VILLAGE 2016	DROUHIN MACON VILLAGE 2016	DREYFUS - ASHBY	750 ML	12.75	112290	PINNACLE IMPORTS	CS	12	
