UPC	length	RECEIPT ALIAS	ITEM NAME	BRAND	SIZE	COST	SUID	VENDOR	UOM	PACK
099479550086	y	VACQUEYRAS BOUVENCOURT RD 13	BROTTE VACQUEYRAS BOUVENCOURT RD 2013	W.DIRECT LLC DBA W. DIRECT (BROTTE)	750 ML	16.5	126103	PINNACLE IMPORTS	CS	12
099479550635	y	DOMAIN BARVILLE CDP ROUGE 2014	BROTTE DOMAIN BARVILLE CDP ROUGE 2014	W.DIRECT LLC DBA W. DIRECT (BROTTE)	750 ML	29.5	126100	PINNACLE IMPORTS	CS	12
099479551069	y	COTES DU RHONE ESPRIT BARVILL 15	BROTTE COTES DU RHONE ESPRIT BARVILLE 2015	W.DIRECT LLC DBA W. DIRECT (BROTTE)	750 ML	11.25	126105	PINNACLE IMPORTS	CS	12
183491000046	y	GRAYSON CHARD 2016	GRAYSON CHARD 2016	THE WOODMAR GROUP	750 ML	9.75	100050	PINNACLE IMPORTS	CS	12
183491000053	y	CEDRATA SODA DIAMANT CITRNS	BALADIN CEDRATA SODA W/ DIAMANTE CITRONS	B. UNITED	250 ML	2.29	125182	PINNACLE IMPORTS	CS	12
183491000053	y	GRAYSON MERLOT 2015	GRAYSON MERLOT 2015	THE WOODMAR GROUP	750 ML	9.75	101570	PINNACLE IMPORTS	CS	12
183491000060	y	GRAYSON CAB 2016	GRAYSON CAB 2016	THE WOODMAR GROUP	750 ML	9.75	121590	PINNACLE IMPORTS	CS	12
183491000091	y	GRAYSON ZINFANDEL 2016	GRAYSON ZINFANDEL 2016	THE WOODMAR GROUP	750 ML	9.75	101590	PINNACLE IMPORTS	CS	12
183491000114	y	GRAYSON PASO ROBLES PNO NOIR 16	GRAYSON PASO ROBLES PINOT NOIR 2016	THE WOODMAR GROUP	750 ML	12	101580	PINNACLE IMPORTS	CS	12
183491000190	y	AECHT SCHLNKRLA RAUCHBIER HELLES	AECHT SCHLNKRLA RAUCHBIER HELLES 50L KEG	B. UNITED	50 L		304931	PINNACLE IMPORTS	EA	1
183491000190	y	BLOCK NINE PN NOIR 2016	BLOCK NINE PINOT NOIR 2016	THE WOODMAR GROUP	750 ML	11.25	100230	PINNACLE IMPORTS	CS	12
185554000208	y	NINA SANGRIA	JGS-NINA SANGRIA	JOHNNY GREEN SEEDS	750 ML	10.5	126120	PINNACLE IMPORTS	CS	12
185554000222	y	TARANTAS TEMPRANILLO CRIANZA 14	JGS-TARANTAS TEMPRANILLO CRIANZA 14	JOHNNY GREEN SEEDS	750 ML	9	126171	PINNACLE IMPORTS	CS	12
185554000284	y	BIOKULT ROSE 2016	JGS-BIOKULT ROSE 2016	JOHNNY GREEN SEEDS	750 ML	12	126118	PINNACLE IMPORTS	CS	12
185554000352	y	PIZZOLATO NSA CAB 16	JGS-PIZZOLATO NSA CAB 16	JOHNNY GREEN SEEDS	750 ML	9.75	126130	PINNACLE IMPORTS	CS	12
185554000369	y	TARANTAS SPARKLING ROSE 16	JGS-TARANTAS SPARKLING ROSE 16	JOHNNY GREEN SEEDS	750 ML	9	126172	PINNACLE IMPORTS	CS	12
185554000376	y	TARANTAS SPARKLING BLANC 16	JGS-TARANTAS SPARKLING BLANC 16	JOHNNY GREEN SEEDS	750 ML	9	126170	PINNACLE IMPORTS	CS	12
185554000383	y	LE PETIT LAGARDE ORG BX 2016	JGS-LE PETIT LAGARDE ORG BX 2016	JOHNNY GREEN SEEDS	750 ML	13.5	126110	PINNACLE IMPORTS	CS	12
185554000420	y	PIZZOLATO FIELDS PROSECCO	JGS-PIZZOLATO FIELDS PROSECCO	JOHNNY GREEN SEEDS	750 ML	10.5	126135	PINNACLE IMPORTS	CS	12
185554000468	y	PIZZOLATO PINOT GRIGIO 2016	JGS-PIZZOLATO PINOT GRIGIO 2016	JOHNNY GREEN SEEDS	750 ML	9	126134	PINNACLE IMPORTS	CS	12
185554000529	y	PIZZOLATO NSA ROSSO 2016	JGS-PIZZOLATO NSA ROSSO 2016	JOHNNY GREEN SEEDS	750 ML	9.75	126132	PINNACLE IMPORTS	CS	12
185554000543	y	SPARTICO TEMPRANILLO 16	JGS-SPARTICO TEMPRANILLO 16	JOHNNY GREEN SEEDS	750 ML	10.5	126160	PINNACLE IMPORTS	CS	12
185554000567	y	PIZZOLATO NSA MERLOT 16	JGS-PIZZOLATO NSA MERLOT 16	JOHNNY GREEN SEEDS	750 ML	9.75	126131	PINNACLE IMPORTS	CS	12
185554000628	y	BIOKULT GRUNER VELTLINER OR	JGS-BIOKULT GRUNER VELTLINER OR	JOHNNY GREEN SEEDS	750 ML	12	126119	PINNACLE IMPORTS	CS	12
185554000895	y	LES HAUTS DE LAGARDE BDX RD 2016	JGS-LES HAUTS DE LAGARDE BDX RD 2016	JOHNNY GREEN SEEDS	750 ML	10.5	126112	PINNACLE IMPORTS	CS	12
185554000901	y	LES HAUTS DE LAGARDE BDX WHT 16	JGS-LES HAUTS DE LAGARDE BDX WHITE 2016	JOHNNY GREEN SEEDS	750 ML	10.5	126113	PINNACLE IMPORTS	CS	12
185554000918	y	LES HAUT DE LAGARDE ROSE 2015	JGS-LES HAUT DE LAGARDE ROSE 2015	JOHNNY GREEN SEEDS	750 ML	10.5	126111	PINNACLE IMPORTS	CS	12
185554000949	y	SOFOS WHT WISE OLD MAN 15	JGS-SOFOS WHITE WISE OLD MAN 15	JOHNNY GREEN SEEDS	750 ML	11.25	126151	PINNACLE IMPORTS	CS	12
185554000963	y	PIZZOLATO MOSCATO 16	JGS-PIZZOLATO MOSCATO 16	JOHNNY GREEN SEEDS	750 ML	11.25	126133	PINNACLE IMPORTS	CS	12
186028000083	y	DIPLOMATICO MANTUANO RUM	DIPLOMATICO MANTUANO RUM	DOMAINE SELECT WINE ESTATE	750 ML	18.05	1727	PINNACLE IMPORTS	CS	6
187833000084	y	DONATI SISTERS ROUGE 2014	DONATI SISTERS ROUGE 2014	DONATI FAMILY VINEYARD	750 ML	12	127250	PINNACLE IMPORTS	CS	12
187833000220	y	DONATI CLARET 2014	DONATI CLARET 2014	DONATI FAMILY VINEYARD	750 ML	15	10100011	PINNACLE IMPORTS	CS	12
187833000237	y	DONATI CAB SAUV 2014	DONATI CABERNET SAUVIGNON 2014	DONATI FAMILY VINEYARD	750 ML	18	122310	PINNACLE IMPORTS	CS	12
187833080307	y	FORMAN CAB SAUV 2013	FORMAN CABERNET SAUVIGNON 2013	FORMAN VINEYARDS	750 ML	90	125880	PINNACLE IMPORTS	CS	12
187833090276	y	ANDREW WILL COL VAL CAB FRANC 15	ANDREW WILL COLUMBIA VALLEY CAB FRANC 2015	ANDREW WILL	750 ML	25.5	116481	PINNACLE IMPORTS	CS	12
187833090306	y	DONATI EZIO 2013	DONATI EZIO 2013 6PK	DONATI FAMILY VINEYARD	750 ML	26.25	12228012	PINNACLE IMPORTS	CS	6
187833100401	y	DONATI IMMIGRANT 2014	DONATI IMMIGRANT 2014 6PK	DONATI FAMILY VINEYARD	750 ML	26.25	10102012	PINNACLE IMPORTS	CS	6
309610006728	y	LA MAROUETTE CAB 15	JGS-LA MAROUETTE CAB 15	JOHNNY GREEN SEEDS	750 ML	10.5	126090	PINNACLE IMPORTS	CS	12
383002047166	y	MOVIA SAUV BLANC 2014	MOVIA SAUVIGNON BLANC 2014	DOMAINE SELECT WINE ESTATE	750 ML	25.5	126231	PINNACLE IMPORTS	CS	12
383002047193	y	MOVIA PURO SPARKLING ROSE 2006	MOVIA PURO SPARKLING ROSE 2006	DOMAINE SELECT WINE ESTATE	750 ML	36.25	126232	PINNACLE IMPORTS	CS	9
383002047201	y	MOVIA PN NOIR 2010	MOVIA PINOT NOIR 2010	DOMAINE SELECT WINE ESTATE	750 ML	31.5	126230	PINNACLE IMPORTS	CS	12
493448611809	y	HITACHINO ANBAI PLUM WHEAT ALE	HITACHINO ANBAI PLUM WHEAT ALE W/ SALT	B. UNITED	11.2 OZ		30516	PINNACLE IMPORTS	CS	24
600519000319	y	HARVIESTOUN OLD ENGINE OIL 411.2	HARVIESTOUN OLD ENGINE OIL 4/6PK/11.2	B. UNITED	11.2 OZ		117750	PINNACLE IMPORTS	CS	24
600519000319	y	HANSSENS OUDE KRIEK 1212.7OZ 	HANSSENS OUDE KRIEK 12/12.7OZ /	B. UNITED	12.7 OZ		301300	PINNACLE IMPORTS	CS	12
600519000319	y	ST SUPERY SAUV BLANC FIREBIRDS	ST SUPERY SAUV BLANC NO UPC FIREBIRDS	ST. SUPERY	750 ML	10	103680	PINNACLE IMPORTS	CS	12
600519000739	y	HARVIESTOUN OLA DUBH 12 YEAR11.2	HARVIESTOUN OLA DUBH 12 YEAR 12PK/11.2	B. UNITED	11.2 OZ		302260	PINNACLE IMPORTS	CS	12
600519000746	y	HARVIESTOUN OLA DUBH 16 YEAR11.2	HARVIESTOUN OLA DUBH 16 YEAR 12PK/11.2	B. UNITED	11.2 OZ		302270	PINNACLE IMPORTS	CS	12
600519000920	y	HARVIESTOUN OLA DUBH 18 YEAR11.2	HARVIESTOUN OLA DUBH 18 YEAR 12PK/11.2	B. UNITED	11.2 OZ		302280	PINNACLE IMPORTS	CS	12
600519001125	y	HARVIESTOUN ENGINE OIL ENGINEERS	HARVIESTOUN OLD ENGINE OIL ENGINEERS RESERVE 12PK/11.2	B. UNITED	11.2 OZ		302250	PINNACLE IMPORTS	CS	12
603110200102	y	WILLAKENZIE EMERY PN NOIR 13	WILLAKENZIE EMERY PINOT NOIR 2013	JACKSON FAMILY ENTERPRISES	750 ML	42.75	105200	PINNACLE IMPORTS	CS	6
603110950038	y	WILLAKENZIE GISELE PN NOIR 15	WILLAKENZIE GISELE PINOT NOIR 2015	JACKSON FAMILY ENTERPRISES	750 ML	23.25	105191	PINNACLE IMPORTS	CS	12
603110970012	y	WILLAKENZIE PINOT GRIS 2016	WILLAKENZIE PINOT GRIS 2016	JACKSON FAMILY ENTERPRISES	750 ML	18.75	121580	PINNACLE IMPORTS	CS	12
606179201400	y	SANTHELENA REFOSCO IGT 2012	SANTHELENA REFOSCO IGT 2012	DOMAINE SELECT WINE ESTATE	750 ML	18.75	1607	PINNACLE IMPORTS	CS	12
606179202605	y	CH BERRES IMPULSE RIESLING 2013	CH BERRES IMPULSE RIESLING 2013	CLASSICAL WINES	750 ML	15	111092	PINNACLE IMPORTS	CS	12
606179203008	y	FANTINEL PINOT GRIGIO FRUILI 16	FANTINEL PINOT GRIGIO FRUILI DEL GRAVE DOC 2016	DOMAINE SELECT WINE ESTATE	750 ML	12	106441	PINNACLE IMPORTS	CS	12
606179203107	y	FANTINEL CAB SAUV 2015	FANTINEL CABERNET SAUVIGNON 2015	DOMAINE SELECT WINE ESTATE	750 ML	12	106442	PINNACLE IMPORTS	CS	12
606179204005	y	SANTHELENA PINOT GRIGIO DOC 2016	SANTHELENA PINOT GRIGIO DOC 2016	DOMAINE SELECT WINE ESTATE	750 ML	18.75	1608	PINNACLE IMPORTS	CS	12
606179204203	y	SANTHELENA FRIULANO DOC 2015	SANTHELENA FRIULANO DOC 2015	DOMAINE SELECT WINE ESTATE	750 ML	18.75	1611	PINNACLE IMPORTS	CS	12
606179204302	y	SANTHELENA RIBOLLA GIALLA IGT 15	SANTHELENA RIBOLLA GIALLA IGT 2015	DOMAINE SELECT WINE ESTATE	750 ML	18.75	1609	PINNACLE IMPORTS	CS	12
606179207808	y	BERRS URZIGER WURZGARTEN RIES 11	CH BERRES URZIGER WURZGARTEN RIESLING KAB 2011	CLASSICAL WINES	750 ML	18	111093	PINNACLE IMPORTS	CS	12
606179207808	y	FANTINEL ONE & ONLY BRUT ROSE	FANTINEL ONE & ONLY BRUT ROSE	DOMAINE SELECT WINE ESTATE	750 ML	14.25	106440	PINNACLE IMPORTS	CS	12
606179209451	y	FRONTIERE COLLIO BIANCO DOC 14	SANTHELENA FRONTIERE COLLIO BIANCO DOC 2014	DOMAINE SELECT WINE ESTATE	750 ML	27	1613	PINNACLE IMPORTS	CS	12
606179209468	y	VENKO COLLIO ROSSO DOC 2010	SANTHELENA VENKO COLLIO ROSSO DOC 2010	DOMAINE SELECT WINE ESTATE	750 ML	27	1612	PINNACLE IMPORTS	CS	12
610373581169	y	LA PEPIERE MUSCADET DE MAINE 15	DOM DE LA PEPIERE MUSCADET DE MAINE ET SEVRE SUR LIE 2015	LOUIS-DRESSNER	750 ML	13.5	112160	PINNACLE IMPORTS	CS	12
610373581459	y	BERNARD BAUDRY CHINON 2014	BERNARD BAUDRY CHINON 2014	LOUIS-DRESSNER	750 ML	16.5	125560	PINNACLE IMPORTS	CS	12
611482000152	y	QUINTA DO CRASTO TINTA RORIZ 13	QUINTA DO CRASTO TINTA RORIZ 2013	BROADBENT SELECTIONS	750 ML	57	1658	PINNACLE IMPORTS	CS	3
611482021003	y	FERREIRA TAWNY DUQUE DE BRAGANCA	FERREIRA 20 YEAR TAWNY DUQUE DE BRAGANCA	BROADBENT SELECTIONS	750 ML	45.75	105620	PINNACLE IMPORTS	CS	12
611482021003	y	QUINTA DO CRASTO LBV 2010	QUINTA DO CRASTO LBV 2010	BROADBENT SELECTIONS	750 ML	21	105430	PINNACLE IMPORTS	CS	12
611482022031	y	WARWICK ESTATE RESERVE RD 2002	WARWICK ESTATE RESERVE RD 2002	BROADBENT SELECTIONS	750 ML	23.25	111240	PINNACLE IMPORTS	CS	12
611482042114	y	WARWCK ESTATE PROF SAUV BLANC 12	WARWICK ESTATE PROF. BLK SAUV BLANC 2012	BROADBENT SELECTIONS	750 ML	17.25	111252	PINNACLE IMPORTS	CS	12
611482045009	y	CH. MUSAR CUVEE ROUGE 2013	CH. MUSAR CUVEE ROUGE 2013	BROADBENT SELECTIONS	750 ML	18	107950	PINNACLE IMPORTS	CS	12
611482060330	y	BROADBENT VINHO VERDE NV	BROADBENT VINHO VERDE NV	BROADBENT SELECTIONS	750 ML	9	108710	PINNACLE IMPORTS	CS	12
611482070315	y	CLOS BRUSQUIERES CDP 2013	CLOS BRUSQUIERES CDP 2013	WINES OF FRANCE	375 ML		121793	PINNACLE IMPORTS	CS	24
611482070315	y	BROADBENT VINHO VERDE ROSE NV	BROADBENT VINHO VERDE ROSE NV	BROADBENT SELECTIONS	750 ML	9	108711	PINNACLE IMPORTS	CS	12
611482081601	y	WARWICK ESTATE PINOTAGE 2014	WARWICK ESTATE PINOTAGE 2014	BROADBENT SELECTIONS	750 ML	17.25	111251	PINNACLE IMPORTS	CS	12
611482961057	y	FERREIRA RUBY PORT NV	FERREIRA RUBY PORT NV	BROADBENT SELECTIONS	750 ML	13.5	105710	PINNACLE IMPORTS	CS	12
611482961064	y	FERREIRA TAWNY PORT NV	FERREIRA TAWNY PORT NV	BROADBENT SELECTIONS	750 ML	15	105720	PINNACLE IMPORTS	CS	12
611482961125	y	FERREIRA DONA ANTONIA RESRVE PRT	FERREIRA DONA ANTONIA RESERVE PORT NV	BROADBENT SELECTIONS	750 ML	16.5	105700	PINNACLE IMPORTS	CS	12
611482961811	y	CASA FERREIRINHA VINHA GRANDE 14	CASA FERREIRINHA VINHA GRANDE RD 2014	BROADBENT SELECTIONS	750 ML	16.5	1649	PINNACLE IMPORTS	CS	12
611482970202	y	QUINTA DO CRASTO DOURO RD 2015	QUINTA DO CRASTO DOURO RD 2015	BROADBENT SELECTIONS	750 ML	15.75	108702	PINNACLE IMPORTS	CS	12
620670307898	y	BIRRIFICIO DUCATO VERDI IMPERIAL	BIRRIFICIO DUCATO VERDI IMPERIAL STOUT 16PK/11.2OZ *	B. UNITED	11.2 OZ		302000	PINNACLE IMPORTS	CS	16
633560110980	y	LAETITIA ESTATE CHARD 2016	LAETITIA ESTATE CHARD 2016	LAETITIA VINEYARD & WINERY	750 ML	15	101915	PINNACLE IMPORTS	CS	12
633560130988	y	LAETITIA ESTATE PN NOIR 2016	LAETITIA ESTATE PINOT NOIR 2016	LAETITIA VINEYARD & WINERY	750 ML	23.25	101916	PINNACLE IMPORTS	CS	12
633560131985	y	LAETITIA RESERVE PN NOIR 2015	LAETITIA RESERVE PINOT NOIR 2015	LAETITIA VINEYARD & WINERY	750 ML	33	101914	PINNACLE IMPORTS	CS	6
633560201985	y	BENMARCO EXPRESIVO 2013	BENMARCO EXPRESIVO 2013	FOLIO WINE COMPANY LLC	750 ML	27.75	109341	PINNACLE IMPORTS	CS	12
636595512750	y	ULYSSES NAPA VALLEY CAB SAUV 12	ULYSSES NAPA VALLEY CABERNET SAUVIGNON 2012	DREYFUS - ASHBY	750 ML	145	126490	PINNACLE IMPORTS	CS	6
636659010734	y	E DUPONT BOUCHE BRUT CIDER	E. DUPONT BOUCHE BRUT CIDER 24/375ML	B. UNITED	375 ML	7	300310	PINNACLE IMPORTS	CS	24
637411000604	y	GIESEN MARLB EST SAUV BLANC 16	GIESEN MARLB ESTATE SAUV BLANC 2016	PACIFIC HIGHWAY WINE & SPIRITS	750 ML	10.5	107970	PINNACLE IMPORTS	CS	12
637789336749	y	BURGANS ALBARINO 2015	BURGANS ALBARINO 2015	EC-EUROPEAN CELLARS/ERIC SOLOMON	750 ML	12.75	120940	PINNACLE IMPORTS	CS	12
642917000058	y	DOM SERENE EVENSTD PN NOIR 13	DOMAINE SERENE EVENSTAD PINOT NOIR 2013 375ML	DOMAINE SERENE	375 ML	29.25	12219011	PINNACLE IMPORTS	CS	12
650826000021	y	BURNT CITY BUTCHER PALE KEG	BURNT CITY DICK THE BUTCHER PALE KEG	THE LUCKY STRIKE CORP DBA BURNT CTY	5.16667GA L		126890	PINNACLE IMPORTS	EA	1
650826000021	y	TORII MOR PINOT GRIS 2016	TORII MOR PINOT GRIS 2016	TORII MOR	750 ML	15.75	10515014	PINNACLE IMPORTS	CS	12
650826000038	y	BURNT CITY BALLOON BOY WHEAT KEG	BURNT CITY BALLOON BOY WHEAT KEG	THE LUCKY STRIKE CORP DBA BURNT CTY	5.16667GA L		126880	PINNACLE IMPORTS	EA	1
650826000120	y	FLORA SPRINGS CAB 2014	FLORA SPRINGS CAB 2014	FLORA SPRINGS WINERY & VINEYARDS	750 ML	33.75	123170	PINNACLE IMPORTS	CS	12
650826000120	y	TORII MOR DEUX VERRES PINOIR 11	TORII MOR DEUX VERRES PINOT NOIR 2011	TORII MOR	750 ML	30.75	115570	PINNACLE IMPORTS	CS	12
650826001189	y	TORII MOR OLSON ESTATE PINOIR 12	TORII MOR OLSON ESTATE PINOT NOIR 2012	TORII MOR	750 ML	48	115571	PINNACLE IMPORTS	CS	12
650826867457	y	TORII MOR BLK LABEL PINOIR 15	TORII MOR BLK LABEL PINOT NOIR 2015	TORII MOR	750 ML	20	105110	PINNACLE IMPORTS	CS	12
653149120018	y	CDR CRK DANKOSAURUS IPA KEG	CEDAR CREEK DANKOSAURUS IPA KEG	CEDAR CREEK BREWERY	5.16667GA L		126451	PINNACLE IMPORTS	EA	1
653149120018	y	FANTINI MONTEPULCIANO 2016	FANTINI MONTEPULCIANO 2016	EMPSON USA INC	750 ML	10.5	106250	PINNACLE IMPORTS	CS	12
653149220015	y	FANTINI TREBBIANO 2014	FANTINI TREBBIANO 2014	EMPSON USA INC	750 ML	11.25	106270	PINNACLE IMPORTS	CS	12
653149231110	y	FANTINI SANGIOVESE 2016	FANTINI SANGIOVESE 2016	EMPSON USA INC	750 ML	11.25	106260	PINNACLE IMPORTS	CS	12
653341883391	y	KNEE DEEP BREAKING BUD CANS	KNEE DEEP BREAKING BUD CANS 4PK	KNEE DEEP BREWING CO.	16 OZ		1434	PINNACLE IMPORTS	CS	24
653341883995	y	KNEE DEEP STOUTELLA CHOC STOUT	KNEE DEEP STOUTELLA CHOCOLATE STOUT CANS 4PK	KNEE DEEP BREWING CO.	16 OZ		1441	PINNACLE IMPORTS	CS	24
654029000819	y	BLANC BRUT SPARKLING CREM NV	MONTMARTE BLANC DE BLANC BRUT SPARKLING CREMANT NV	CANNON WINES	750 ML	10.5	111830	PINNACLE IMPORTS	CS	12
654029000826	y	MONTMARTE ROSE SPRKLNG CREMNT NV	MONTMARTE ROSE SEC SPARKLING CREMANT NV	CANNON WINES	750 ML	10.5	111840	PINNACLE IMPORTS	CS	12
654367783511	y	NOLLEN ERBEN RIESLNG SPATLESE 16	NOLLEN ERBEN RIESLING SPATLESE 2016	SOUTHEAST WINE PARTNERS LLC	750 ML	9.75	127400	PINNACLE IMPORTS	CS	12
654367783528	y	NOLLEN ERBEN DORNFELDER 2014	NOLLEN ERBEN DORNFELDER 2014	SOUTHEAST WINE PARTNERS LLC	750 ML	9.75	127412	PINNACLE IMPORTS	CS	12
654367783535	y	NOLLEN ERBEN NOT ROOST RIES 12	NOLLEN ERBEN NOTORIOUS ROOSTER RIESLING 2012	SOUTHEAST WINE PARTNERS LLC	750 ML	9.75	127413	PINNACLE IMPORTS	CS	12
654367783542	y	NOLLEN ERBEN RIESL KABINETT 15	NOLLEN ERBEN RIESLING KABINETT 2015	SOUTHEAST WINE PARTNERS LLC	750 ML	9.75	127410	PINNACLE IMPORTS	CS	12
654367783573	y	NOLLEN ERBEN RIESL AUSLESE 2015	NOLLEN ERBEN RIESLING AUSLESE 2015	SOUTHEAST WINE PARTNERS LLC	750 ML	9.75	127411	PINNACLE IMPORTS	CS	12
656218001133	y	DOCKSIDE PILSNER 4X 12OZ	THOMAS CREEK DOCKSIDE PILSNER 4X6PK 12OZ	THOMAS CREEK BREWERY	12 OZ		301100	PINNACLE IMPORTS	CS	24
656218204978	y	DEEP WATER DOPPLEBOCK 4X 12OZ	THOMAS CREEK DEEP WATER DOPPLEBOCK 4X6PK 12OZ	THOMAS CREEK BREWERY	12 OZ		301090	PINNACLE IMPORTS	CS	24
656218205685	y	DEEP WATER DOPPLEBOCK 5.2GAL	THOMAS CREEK DEEP WATER DOPPLEBOCK 1/6BBL 5.2GAL	THOMAS CREEK BREWERY	5.16667GA L		304340	PINNACLE IMPORTS	EA	1
656218237884	y	REVERDY SANCERRE ROSE 2016	REVERDY SANCERRE ROSE 2016	WEYGANDT-METZLER IMPORTING	750 ML	18	11917013	PINNACLE IMPORTS	CS	12
656218273356	y	UP THE CRK EXTREME IPA 6X 12OZ	THOMAS CREEK UP THE CREEK EXTREME IPA 6X4PK 12OZ	THOMAS CREEK BREWERY	12 OZ		301150	PINNACLE IMPORTS	CS	24
656218514152	y	BANANA SPLIT 12OZ	THOMAS CREEK BANANA SPLIT 12OZ 4PK	THOMAS CREEK BREWERY	12 OZ		304331	PINNACLE IMPORTS	CS	24
656218764205	y	TRIFECTA IPA CANS	THOMAS CREEK TRIFECTA IPA CANS	THOMAS CREEK BREWERY	12 OZ		1534	PINNACLE IMPORTS	CS	24
656218812364	y	APPALACHIAN AMBER ALE 4X 12OZ	THOMAS CREEK APPALACHIAN AMBER ALE 4X6PK 12OZ	THOMAS CREEK BREWERY	12 OZ		301070	PINNACLE IMPORTS	CS	24
656218819974	y	COFFEE OATMEAL STOUT 4	THOMAS CREEK COFFEE OATMEAL STOUT 4/6PK	THOMAS CREEK BREWERY	12 OZ		121840	PINNACLE IMPORTS	CS	24
656218969525	y	STILLWATER VAN CREAM ALE 12OZ	THOMAS CREEK STILLWATER VANILLA CREAM ALE 4X6PK 12OZ	THOMAS CREEK BREWERY	12 OZ		301140	PINNACLE IMPORTS	CS	24
656218969525	y	SPY VALLEY ENVOY PN NOIR 2011	SPY VALLEY ENVOY PINOT NOIR 2011 6PK	BROADBENT SELECTIONS	750 ML	39	10800011	PINNACLE IMPORTS	CS	6
656218986355	y	CLASS FIVE IPA 4X 12OZ	THOMAS CREEK CLASS FIVE IPA 4X6PK 12OZ	THOMAS CREEK BREWERY	12 OZ		301080	PINNACLE IMPORTS	CS	24
656218993728	y	TRIFECTA IPA 4 12OZ	THOMAS CREEK TRIFECTA IPA 4/6PK 12OZ	THOMAS CREEK BREWERY	12 OZ		121841	PINNACLE IMPORTS	CS	24
663194000142	y	DE DOLLE SPEC EXPORT STOUT11.2	DE DOLLE SPECIAL EXPORT STOUT 20PK/11.2	B. UNITED	11.2 OZ		301460	PINNACLE IMPORTS	CS	20
666056000090	y	VELENOSI ROSSO PICENO BRECC 14	VELENOSI ROSSO PICENO BRECCIAROLO 2014	DOMAINE SELECT WINE ESTATE	750 ML	14.25	127423	PINNACLE IMPORTS	CS	12
666056000199	y	QUATTRO MANI MONTEPULCIANO 2016	QUATTRO MANI MONTEPULCIANO 2016	DOMAINE SELECT WINE ESTATE	750 ML	11.25	106360	PINNACLE IMPORTS	CS	12
666056000205	y	VELENOSI VERDICCIO 2015	VELENOSI VERDICCIO 2015	DOMAINE SELECT WINE ESTATE	750 ML	14.25	127420	PINNACLE IMPORTS	CS	12
666056000236	y	VELENOSI LACRIMA DI MORRO 2015	VELENOSI LACRIMA DI MORRO 2015	DOMAINE SELECT WINE ESTATE	750 ML	14.25	127422	PINNACLE IMPORTS	CS	12
666056000359	y	VELENOSI PECORINO 2016	VELENOSI PECORINO 2016	DOMAINE SELECT WINE ESTATE	750 ML	14.25	127421	PINNACLE IMPORTS	CS	12
670580002178	y	BERGSTROM OLD STONE CHRDNY 2014	BERGSTROM OLD STONE CHRDNY 2014	BERGSTROM	750 ML	21	104453	PINNACLE IMPORTS	CS	12
670580009177	y	BERGSTROM SIGRID CHRDNY 10	BERGSTROM SIGRID CHRDNY 2010 6PACK	BERGSTROM	750 ML	64	104450	PINNACLE IMPORTS	CS	6
670580100171	y	BERGSTROM SILICE PN NOIR 2015	BERGSTROM SILICE PINOT NOIR 2015 6PK	BERGSTROM	750 ML	52.5	11521114	PINNACLE IMPORTS	CS	6
675829502013	y	FORMATION CHRDNY 2013	FORMATION CHRDNY 2013	VINO DEL SOL	750 ML	12.75	101470	PINNACLE IMPORTS	CS	12
675829502068	y	FORMATION PN NOIR 2014	FORMATION PINOT NOIR 2014	VINO DEL SOL	750 ML	12.75	101490	PINNACLE IMPORTS	CS	12
676814000231	y	PORTAZ VIN DE SAVOIE APREMONT 15	DOM PORTAZ VIN DE SAVOIE APREMONT 2015	NORTH BERKELEY IMPORTS	750 ML	14.25	126690	PINNACLE IMPORTS	CS	12
677925000141	y	GERTRUDE TOSCANA ROSSO 14	LA MAIALINA GERTRUDE TOSCANA ROSSO 2014	DOMAINE SELECT WINE ESTATE	750 ML	12	107201	PINNACLE IMPORTS	CS	12
677925000387	y	GILFRDO TOSCANA BIANCO 2014	LA MAIALINA GILFRDO TOSCANA BIANCO 2014	DOMAINE SELECT WINE ESTATE	750 ML	12	107202	PINNACLE IMPORTS	CS	12
683318626218	y	FITVINE CAB 2015	FITVINE CABERNET 2015	MHW LTD/ FIT VINE LLC	750 ML	12.75	1968	PINNACLE IMPORTS	CS	12
683318626225	y	FITVINE CHRDNY 2016	FITVINE CHRDNY 2016	MHW LTD/ FIT VINE LLC	750 ML	12.75	1966	PINNACLE IMPORTS	CS	12
683318626232	y	FITVINE PN NOIR 2016	FITVINE PINOT NOIR 2016	MHW LTD/ FIT VINE LLC	750 ML	15.75	1967	PINNACLE IMPORTS	CS	12
683318626249	y	FITVINE SAUV BLANC 2016	FITVINE SAUV BLANC 2016	MHW LTD/ FIT VINE LLC	750 ML	12.75	1969	PINNACLE IMPORTS	CS	12
683318626263	y	FITVINE PINOT GRIGIO 2016	FITVINE PINOT GRIGIO 2016	MHW LTD/ FIT VINE LLC	750 ML	12.75	1970	PINNACLE IMPORTS	CS	12
683318988248	y	PHANTASMAGORIA DIPA CANS	PRAIRIE PHANTASMAGORIA DIPA CANS	KREBS BREWING CO (PRAIRIE)	12 OZ		1685	PINNACLE IMPORTS	CS	24
683318988255	y	VOUS FR BRETT COND SAISON BOT	PRAIRIE VOUS FRANCAIS BRETT CONDITIONED SAISON BOTTLE	KREBS BREWING CO (PRAIRIE)	24.5 OZ		1687	PINNACLE IMPORTS	CS	12
