UPC	length	RECEIPT ALIAS	ITEM NAME	BRAND	SIZE	COST	SUID	VENDOR	UOM	PACK
012086331015	y	DROUHIN POUILLY FUISSE 2016	DROUHIN POUILLY FUISSE 2016	DREYFUS - ASHBY	750 ML	24.75	11231011	PINNACLE IMPORTS	CS	12
012086331015	y	DROUHIN POULLIY FUISSE 2008	DROUHIN POULLIY FUISSE 2008	DREYFUS - ASHBY	750 ML	12.5	114270	PINNACLE IMPORTS	CS	12
012086413735	y	HAKUTSURU SAKE DRAFT SAKE 180 ML	HAKUTSURU SAKE DRAFT SAKE 180 ML	SAKE ONE	180 ML	3.75	107690	PINNACLE IMPORTS	CS	30
012086507014	y	DROUHIN BEAUJOL VILLGS CRU RD 14	DROUHIN BEAUJOL VILLGS CRU RD 14	DREYFUS - ASHBY	750 ML	14.25	113120	PINNACLE IMPORTS	CS	12
12086515613	y	EINBECKER WINTER-BOCK DOPPLEBOCK	EINBECKER WINTER-BOCK DOPPLEBOCK	B. UNITED	11.2 OZ		123000	PINNACLE IMPORTS	CS	24
012086522013	y	DROUHIN VAUDON CHABLIS 2015	DROUHIN VAUDON CHABLIS 2015	DREYFUS - ASHBY	750 ML	18.75	112250	PINNACLE IMPORTS	CS	12
012086766510	y	DDO ARTHUR CHARD 2015	DDO ARTHUR CHARD 2015	DREYFUS - ASHBY	750 ML	28.5	116390	PINNACLE IMPORTS	CS	6
012086837029	y	HAKUTSURU SAKE DRAFT SAKE 300ML	HAKUTSURU SAKE DRAFT SAKE 300ML	SAKE ONE	300 ML	6.75	107700	PINNACLE IMPORTS	CS	20
012086860218	y	BRAULIO AMARO	BRAULIO AMARO	DOMAINE SELECT WINE ESTATE	1.0 L	24.5	124540	PINNACLE IMPORTS	CS	6
12086860218	y	EINBECKER UR BOCK DUNKEL 30L KEG	EINBECKER UR BOCK DUNKEL 30L KEG	B. UNITED	30.0 L		305040	PINNACLE IMPORTS	EA	1
012086860218	y	DDO PN NOIR 2015	DDO PINOT NOIR 2015 6PK	DREYFUS - ASHBY	750 ML	35.25	10456012	PINNACLE IMPORTS	CS	6
012086862823	y	HAKUTSURU SUP SAKE JUNMAI GINJO	HAKUTSURU SUP SAKE JUNMAI GINJO	SAKE ONE	300 ML	7.5	107660	PINNACLE IMPORTS	CS	12
012086862854	y	HAKUTSURU SUP SAKE JUNMAI-GINJO	HAKUTSURU SUP SAKE JUNMAI-GINJO	SAKE ONE	720 ML	15	107650	PINNACLE IMPORTS	CS	6
012086862854	y	CH. ROUGET 2014	CH. ROUGET 2014	DREYFUS - ASHBY	750 ML	53.25	125000	PINNACLE IMPORTS	CS	12
012086880414	y	DDO LAURENE PN NOIR 2012	DDO LAURENE PINOT NOIR 2012 6PK	DREYFUS - ASHBY	750 ML	52.5	11425011	PINNACLE IMPORTS	CS	6
012086928819	y	TEDESCHI AMARONE VALPOLICELLA 11	TEDESCHI AMARONE VALPOLICELLA 11	DREYFUS - ASHBY	750 ML	44	107541	PINNACLE IMPORTS	CS	6
012086931017	y	TEDESCH LUCCHINE CLSC VALPOLI 11	TEDESCH LUCCHINE CLSC VALPOLI 11	DREYFUS - ASHBY	750 ML	12.75	107530	PINNACLE IMPORTS	CS	12
012086931819	y	TEDESCHI MONTE TENDA SOAVE 11	TEDESCHI MONTE TENDA SOAVE 11	DREYFUS - ASHBY	750 ML	12.75	107520	PINNACLE IMPORTS	CS	12
012086936715	y	CUVEE FRDDY SOPHIE BRGDY BARREL	CUVEE FRDDY SOPHIE BRGDY BARREL	B. UNITED	11.2 OZ		119852	PINNACLE IMPORTS	CS	24
012086939211	y	DAMA DEL ROVERE DURELLO BRUT	DAMA DEL ROVERE DURELLO BRUT	NORTH BERKELEY IMPORTS	750 ML	15.75	119261	PINNACLE IMPORTS	CS	12
012086965319	y	BRASSERIE DES FRANCHES MONTAGNES	BRASSERIE DES FRANCHES MONTAGNES	B. UNITED	11.2 OZ		303272	PINNACLE IMPORTS	CS	20
012086965319	y	DDO CLOUDLINE PN NOIR 2016	DDO CLOUDLINE PINOT NOIR 2016	DREYFUS - ASHBY	750 ML	16.5	12273013	PINNACLE IMPORTS	CS	12
012086985911	y	BASTIDE BLANC BANDOL ROSE 16	DOM BASTIDE BLANC BANDOL ROSE 16	WEYGANDT-METZLER IMPORTING	1.5 L	45	1112991	PINNACLE IMPORTS	CS	3
012086985911	y	CH DE CAMPUGET TRADITION RD 13	CH DE CAMPUGET TRADITION RD 13	DREYFUS - ASHBY	750 ML	9	111360	PINNACLE IMPORTS	CS	12
012086986529	y	HAKUTSURU JUNMAI NIGORI SAKE	HAKUTSURU JUNMAI NIGORI SAKE	SAKE ONE	300 ML	7	107680	PINNACLE IMPORTS	CS	12
012086986611	y	VACHERON SANCERRE BLANC 2016	VACHERON SANCERRE BLANC 2016	NORTH BERKELEY IMPORTS	750 ML	30	11222013	PINNACLE IMPORTS	CS	12
012086986611	y	BASTIDE BLANCHE BANDOL 15	DOM BASTIDE BLANCHE BANDOL 15	WEYGANDT-METZLER IMPORTING	750 ML	22.5	111301	PINNACLE IMPORTS	CS	12
012086986611	y	CH DE CAMPUGET TRADITION ROSE 17	CH DE CAMPUGET TRADITION ROSE 17	DREYFUS - ASHBY	750 ML	10.5	11137013	PINNACLE IMPORTS	CS	12
12485300032	y	ALBERICE FRIULANO FRIULI 2013	ALBERICE FRIULANO FRIULI 2013	NORTH BERKELEY IMPORTS	750 ML	15.75	123852	PINNACLE IMPORTS	CS	12
012485300032	y	BRUTOCAO CHARD 2013	BRUTOCAO CHARD 2013	BRUTOCAO CELLARS	750 ML	12.75	121950	PINNACLE IMPORTS	CS	12
12485330022	y	AECHT SCHLNKRLA RAUCHBR MAERZN	AECHT SCHLNKRLA RAUCHBR MAERZN	B. UNITED	30.0 L		302882	PINNACLE IMPORTS	EA	1
012485330022	y	BLISS CHRDNY 2015	BLISS CHRDNY 2015	BRUTOCAO CELLARS	750 ML	10.5	100241	PINNACLE IMPORTS	CS	12
