UPC	RECEIPT ALIAS	BRAND	SIZE	MSRP	VENDOR
10044600307692	BLEACH CONCENTRATE 8/64 OZ	CLOROX	64OZ	3.59	CAPITAL CANDY
10046704068509	MOZZ STICK W/SAUCE 8/11	TGI FRIDAYS	11OZ	4.69	CAPITAL CANDY
10051000189537	CAMP TOMATO JUICE PET.8/32 OZ.	CAMP	32OZ	2.49	CAPITAL CANDY
10054600716295	FANTASTIK TRIGGER 8/32 OZ.	FANTASTIK	32OZ	3.69	CAPITAL CANDY
10061000189544	V-8 JUICE PLSTC 8/32 OZ.	V-8	32OZ	3.09	CAPITAL CANDY
10071012010506	KING ARTHUR FLOUR  8/5 LB	KING ARTHUR	5.00 LB	6.09	CAPITAL CANDY
10071202177552	DOLE WHOLE STRAWB 8/16OZ	DOLE	16 OZ	3.89	CAPITAL CANDY
10076301752013	APPLE & EVE APPLE JUICE 8/48 OZ.	APPLE	48OZ	3.89	CAPITAL CANDY
10076840100110	B & J'S COFFEE HEATHBAR 8CT PT	B&JS	PT	5.99	CAPITAL CANDY
10076840100140	NY SUPER FUDGE CHUNK 8CT PT	B&JS	PT	5.99	CAPITAL CANDY
10076840100150	B & J'S CHERRY GARCIA 8 CT PT	B&JS	PT	5.99	CAPITAL CANDY
10076840100350	B & J'S CHUNKY MONKEY 8CT PT	B&JS	PT	5.99	CAPITAL CANDY
10076840100580	CHOC CHIP COOKIE DGH 8CT PT	B&JS	PT	5.99	CAPITAL CANDY
10076840100810	B & J'S PEANUT BUTTER CUP 8CT PT	B&JS	PT	5.99	CAPITAL CANDY
10076840100980	B & J'S PHISH FOOD 8CT PT	B&JS	PT	5.99	CAPITAL CANDY
10658276202504	SWAN HM DNR-TURKEY 8/17 OZ	SWAN	17OZ	4.19	CAPITAL CANDY
10658276202535	SWAN HM DNR-SALISBURY 8/16 OZ	SWAN	16OZ	4.19	CAPITAL CANDY
10658276202559	SWAN HM FRIED CHICKEN 8/16 OZ	SWAN	16OZ	4.59	CAPITAL CANDY
10854178003007	KINGDOM CRMY PT VANILLA 8PT	KINGDOM	PT	3.99	CAPITAL CANDY
10854178003045	KINGDOM CRMY PT MAPLE 8PT	KINGDOM	PT	3.99	CAPITAL CANDY
30023700017858	TYSON HONEY BNLS WINGS 8/10 OZ	TYSON	10OZ	3.99	CAPITAL CANDY
30023700018749	TYSON CHICKEN TENDERS 8/13OZ	TYSON	13OZ	3.99	CAPITAL CANDY
30079900001579	WYMANS FROZEN BLUEBERRIES 8/12OZ	WYMANS	12.00 OZ	4.29	CAPITAL CANDY
000072510209	COLD HOLLOW CIDER 1/2 GALS	COLD	1CT	4.19	CAPITAL CANDY
000080101000	HG HOMO MILK 9-1/2 GAL	BOOTH BROS	1/2GAL	2.39	CAPITAL CANDY
000080101208	BOOTH BROS HG 2% MILK 9-1/2 GAL	BOOTH	1/2GAL	2.29	CAPITAL CANDY
012546076203	WHITE SPLIT2FIT PEPMINT9/16	TRIDENT	1CT	1.39	CAPITAL CANDY
012546076234	WHITE SPLIT MICRO CRYSTALS	TRIDENT	PKT	1.39	CAPITAL CANDY
012546076302	WHT SPLIT2FIT COOLRUSH 9/16	TRIDENT	1CT	1.39	CAPITAL CANDY
012546097277	ICE ARCTIC CHILL SPLIT 9/16	DENTYNE	PKT	1.39	CAPITAL CANDY
012546097314	FIRE SPLIT2FIT CINN 9/16 CT	DENTYNE	PKT	1.39	CAPITAL CANDY
22000111616	ORBIT WHITE PEPPERMINT 10/9CT	ORBIT	15 CT	1.69	CAPITAL CANDY
10011120004028	WOOLITE RUG CLEANER SPRAY 9/22	WOOLITE	22OZ	5.99	CAPITAL CANDY
