UPC	RECEIPT ALIAS	BRAND	SIZE	MSRP	VENDOR
00037600072366	MARY KIT ROAST BEEF HASH 12/15	MARY	15OZ	2.99	CAPITAL CANDY
00037600092968	MARY KIT CORN BEEF HASH 12/15	MARY	653473	2.99	CAPITAL CANDY
00037600239738	CHILI WITH BEANS 12/15 OZ.	CHILI	15OZ	2.49	CAPITAL CANDY
00037900991435	RONSON BUTANE FUEL 42 GRAMS	RONSON	PKT	2.89	CAPITAL CANDY
00038000596643	KELLOGG RAISIN BRAN 12/13 OZ	KELLOGG	13OZ	4.59	CAPITAL CANDY
00038000766060	EGGO WAFFLES 12/12 OZ.	EGGO	12OZ	3.29	CAPITAL CANDY
00039000045209	PUMPKIN SOLID PK 12/29 OZ	LIBBY'S	29OZ	4.29	CAPITAL CANDY
041116102615	BAZOOKA WALLET PACK  12 CT	BAZOOKA	BX	1.39	CAPITAL CANDY
00041196910124	PROG. MINESTRONE SOUP 12/19OZ	PROG	19OZ	2.69	CAPITAL CANDY
00041196910889	CHICKEN/NOODLE SOUP 12/19 OZ.	PROGRESSO	19OZ	3.19	CAPITAL CANDY
00041333088617	DURACELL 9 VOLT MN 1604B 12/1PK	DURACELL	1CT	5.69	CAPITAL CANDY
00041800505005	WELCH GRAPE JELLY 12/18 OZ.	WELCH	18OZ	2.69	CAPITAL CANDY
042187450230	B-Y VEG OIL 12/24OZ	B-Y	24OZ	2.09	CAPITAL CANDY
00043000050071	STOVE TOP CHICK STUFFING 12/6 OZ	STOVE	6OZ	2.69	CAPITAL CANDY
00043000794081	MAXWELL INST 02 OZ/12 CT.	MAXWELL	2OZ	2.79	CAPITAL CANDY
00043000794548	MAXWELL INST 04 OZ/12 CT.	MAXWELL	4OZ	4.89	CAPITAL CANDY
044000000578	NAB PREMIUM SALTINE 57 16 OZ	NAB	16OZ	3.59	CAPITAL CANDY
044000003821	NAB 4 OZ PREMIUM SALTINE 12CT	NAB	4OZ	2.19	CAPITAL CANDY
044000003869	NAB PREMIUM SALTINE 386 8 OZ	NAB	8OZ	3.29	CAPITAL CANDY
044000007522	NAB CHIPS AHOY 752 6 OZ	NAB	6OZ	2.19	CAPITAL CANDY
00048001213371	HELLMANS MAYONNAISE 12/15 OZ.	HELLMANS	15OZ	4.89	CAPITAL CANDY
00050000300600	MATE CREAMER (PWDR) 12/11 OZ	COFFEE	11OZ	2.89	CAPITAL CANDY
00051500242506	CRISCO 12/1 LB	CRISCO	1LB	3.89	CAPITAL CANDY
00051500243954	CRISCO OIL 12/16 OZ	CRISCO	16OZ	2.99	CAPITAL CANDY
00051600000020	LEA & PER WORCESTERSHIRE 12/5OZ	LEA	5OZ	2.89	CAPITAL CANDY
00070158112054	KRAZY GLUE G40 .07 OZ	KRAZY	1CT	1.69	CAPITAL CANDY
00070330913332	BIC PEN MED POINT BLUE  10 PK	BIC	10CT	2.99	CAPITAL CANDY
00070462062083	RED 5 OZ HANGING BAG	SWEDISH FISH	5.0 OZ	1.59	CAPITAL CANDY
00070462062250	SOUR PATCH KIDS 5.0 OZ PEG BAG	SOUR	5.0 OZ	1.59	CAPITAL CANDY
00070462431414	X-TREME 4.0 OZ  HANGING	SOUR PATCH	4.0 OZ	1.59	CAPITAL CANDY
071698111194	ADIRONDAK 12/1 LTR SELTZER ORIG.	ADIRONDAK	1 LIT	.99	CAPITAL CANDY
00071921534844	"DIGIORNO 12"" PEPPERONI 12CT"	DIGIORNO	1CT	7.89	CAPITAL CANDY
00072799490195	ORIG CARAMEL FILLED 12/5.5	WERTHERS	PKT	2.89	CAPITAL CANDY
00073731004197	BURRITO TORTILLA 12/20 OZ	MISSION	20 OZ	3.59	CAPITAL CANDY
075720005307	POLAND SPRKLNG 1LTR LIME 12CT	POLAND	12CT	1.59	CAPITAL CANDY
076606153051	H.H. COCKTAIL ONIONS 12/3 OZ	HADDON HOUSE	3.00 OZ	1.59	CAPITAL CANDY
076642401802	CANDLES BIRTHDAY SPIRAL 12/12 CT	CANDLES	1CT	1.19	CAPITAL CANDY
076828046704	WET ONES 12/40'S	WET ONES	40CT	3.39	CAPITAL CANDY
00078354101087	CABOT COTTAGE CHEESE 12/1 LB	CABOT	1LB	2.99	CAPITAL CANDY
00078354505182	CABOT DIP FRENCH ONION 12/12OZ	CABOT	12OZ	2.19	CAPITAL CANDY
00078354700471	CABOT BAR EX SHARP 12/8 OZ	CABOT	8OZ	4.09	CAPITAL CANDY
078698132730	POWER STEERING FLUID 12/12 OZ	GUNK	12OZ	2.49	CAPITAL CANDY
00078698415109	GUNK GAS TREATMENT 12/12 OZ	GUNK	12OZ	2.69	CAPITAL CANDY
00079200619008	WONKA CHEWY SPREE 12/7.0 OZ PEG	WONKA	7OZ	2.29	CAPITAL CANDY
307660744207	TUMS ORIGINAL 12/12'S	TUMS	12CT	.99	CAPITAL CANDY
312546051157	HALLS BAG MENTHOLYPTUS 30 CT	HALLS	1CT	2.69	CAPITAL CANDY
312546051218	BAG VIT C ASST. DEFENSE 30 CT	HALLS	1CT	2.69	CAPITAL CANDY
602652171116	CRANBRY&ALMOND ANTIOX12CT	KIND BAR	BOX	2.19	CAPITAL CANDY
602652171185	PEANUT BUTTER & STAWBRY 12	KIND BAR	BOX	2.19	CAPITAL CANDY
602652171215	POM/BLBRY/PISTACHIO 12 CT	KIND BAR	PKT	2.19	CAPITAL CANDY
602652171246	KIND BAR FRUIT&NUT DELIGHT 12 CT	KIND BAR	PKT	2.19	CAPITAL CANDY
602652171277	FRUIT/NUT IN YOGURT 12 CT	KIND BAR	PKT	2.19	CAPITAL CANDY
602652171505	DK CHOC CHERRY& CASHEW 12	KIND BAR	BOX	2.19	CAPITAL CANDY
602652171567	PB DRK CHOC & PROTIEN 12	KIND BAR	BOX	2.19	CAPITAL CANDY
602652171796	CARAMEL ALMND & SEA SALT	KIND BAR	1.6OZ	2.19	CAPITAL CANDY
719410500122	5HR ENGY DRINK BERRY 12/2 OZ	5-HOUR	2 OZ	2.69	CAPITAL CANDY
722252300904	CHOCOLATE CHIP 12/2.4 OZ	CLIF	2.4 OZ	1.99	CAPITAL CANDY
722252301208	CRUNCHY PEA BUTTER 12/2.4	CLIF	12CT	1.99	CAPITAL CANDY
722252301307	CHOC CP PEA'T CRUNCH 12/2.	CLIF	12CT	1.99	CAPITAL CANDY
722252301406	CLIF BAR CARROT CAKE 12/2.4 OZ	CLIF	12CT	1.99	CAPITAL CANDY
722252302007	COOL MINT CHOCOLATE 12/2.4	CLIF	2.4 OZ	1.99	CAPITAL CANDY
722252361097	WHITE CHOC MACDAMIA 12/2.4	CLIF	2.4 OZ	1.99	CAPITAL CANDY
722252368003	CLIF NTR BTR HAZELNUT 12 CT	CLIF	1.76OZ	2.49	CAPITAL CANDY
722252368010	CLIF NTR BTR CHOC PNT BTR 12 CT	CLIF	1.76OZ	2.49	CAPITAL CANDY
722252368027	BTR COCONUT ALMND BTR 12CT	CLIF	1.76OZ	2.49	CAPITAL CANDY
722252500137	CLIF BAR OATMEAL RAISIN 12 CT BX	CLIF	BX	1.99	CAPITAL CANDY
722252600424	BUILDER'S CHOCOLATE BAR 12 CT	CLIF	BAR	2.49	CAPITAL CANDY
722252600448	BUILDER'S CHOCOLATE MINT 12 CT	CLIF	BAR	2.49	CAPITAL CANDY
816012010285	SALTED & RSTED ORIG 12CT	BIGS	2.75OZ	1.09	CAPITAL CANDY
851587003447	BLK CHERRY YOGURT 12CT	GREEN MOUNTAIN	5.3 OZ	1.29	CAPITAL CANDY
851587003485	GR MT CRMERY MAPLE YOGURT 12CT	GREEN MOUNTAIN	5.3 OZ	1.29	CAPITAL CANDY
851587003522	BLUEBERRY YOGURT 12CT	GREEN MOUNTAIN	5.3 OZ	1.29	CAPITAL CANDY
851587003546	GR MT CRMERY PEACH YOGURT 12CT	GREEN MOUNTAIN	5.3 OZ	1.29	CAPITAL CANDY
851587003591	GR MT CRMERY COFFEE YOGURT 12CT	GREEN MOUNTAIN	5.3 OZ	1.29	CAPITAL CANDY
851587700349	GR MT CRMERY COCONUT YOGURT 12CT	GREEN MOUNTAIN	5.3 OZ	1.29	CAPITAL CANDY
855019000028	EX VRGN OLIVE OIL 12/17	BOTTICELLI	17 OZ	8.09	CAPITAL CANDY
875750000729	CHARCOAL LIGHTER FLUID 12/QTS.	CHARCOAL	1QRT	3.69	CAPITAL CANDY
10008562000275	SONY C 2PK BATTERIES	SONY	2CT	3.29	CAPITAL CANDY
10012587000707	KITCHEN LG 12/15 CT  00070/SF	GLAD	1CT	4.39	CAPITAL CANDY
10012587000790	TRASH 30 GAL.12/10 CT. 00079	GLAD	1CT	4.39	CAPITAL CANDY
10012587607715	GLAD SNDWCH BAG 12/180 CT.#60771	GLAD	1CT	2.39	CAPITAL CANDY
10012587700287	LAWN 39 GAL QUICK TIE 12/12CT	GLAD	1CT	6.99	CAPITAL CANDY
10013000006405	HEINZ KETCHUP SQUEEZE 12/20 OZ	HEINZ	20OZ	3.29	CAPITAL CANDY
10013000008140	HEINZ VINEGAR CIDER 12/32 OZ	HEINZ	32OZ	2.69	CAPITAL CANDY
10013000008546	HEINZ VINEGAR WHITE 12/32 OZ	HEINZ	32.00 OZ	2.09	CAPITAL CANDY
10013000798003	HEINZ GRAVY H/S BEEF 12/12OZ	HEINZ	12OZ	2.49	CAPITAL CANDY
10013000798201	HEINZ GRAVY H/S CHICKEN 12/12 OZ	HEINZ	12/12 OZ	2.49	CAPITAL CANDY
10013120002868	CRINKLE CUT FRIES 12/32 OZ	ORE IDA	32.00 OZ	4.19	CAPITAL CANDY
10013120003926	ORE IDA HASHBROWNS 12/27OZ	ORE IDA	27OZ	4.19	CAPITAL CANDY
10013120014281	ORE IDA ONION RINGS 12/16OZ	ORE IDA	16OZ	4.59	CAPITAL CANDY
10013409918101	BBQ SAUCE 12/18OZ	SWEET BABY RAYS	18 OZ	2.79	CAPITAL CANDY
10013562000040	ANNIE'S SHELL/CHEDDAR 12/6 OZ	ANNIE'S	6 OZ	2.39	CAPITAL CANDY
10013600020016	SALT KOSHER DIAMOND 12/48 OZ	SALT	48OZ	2.89	CAPITAL CANDY
10013800103212	LASAGNA SNGL SRV 12/10.5 1184	STOUFFERS	10OZ	3.89	CAPITAL CANDY
10013800166860	L/C CHEESE RAVIOLI 12/8 2037	STOUFFERS	8OZ	3.39	CAPITAL CANDY
10013800447850	STOUF MAC/BEEF/TOM 12/ 12.7OZ	STOUF	12.7OZ	3.89	CAPITAL CANDY
10014500004380	BE GREEN BEANS CUT PLY BG12/16	BE	16OZ	2.19	CAPITAL CANDY
10014500004403	BE VEGETABLES MIXED 12/16 OZ	BE	16.00 OZ	2.19	CAPITAL CANDY
10014500004427	BE PEAS BABY PEAS 12/10 OZ	BE	10.00 OZ	2.19	CAPITAL CANDY
10014800000327	MOTTS APPLE JUICE 12/32OZ	MOTTS	32OZ	2.09	CAPITAL CANDY
10014800513247	MOTTS CLAMATO 12/32 OZ	MOTTS	32.00 OZ	3.69	CAPITAL CANDY
10014800582045	REAL LIME JUICE 12/8 OZ X	REAL	8OZ	2.29	CAPITAL CANDY
10014800582236	REAL LEMON JUICE 12/15 OZ	REAL	16OZ	2.79	CAPITAL CANDY
10016000197265	B/C BROWNIE MIX 12/18.3 OZ	BETTY CROCKER	18.3 OZ	2.19	CAPITAL CANDY
10016000274898	SCALLOPED POTATOES 12/4.9 OZ.	BETTY CROCKER	4OZ	2.49	CAPITAL CANDY
10016000275260	GEN MILLS CHEERIOS 12/8.9OZ	GENERAL MILLS	8.9 OZ	4.39	CAPITAL CANDY
10016000275277	GEN MILLS CHEERIO H/NUT 12/12 OZ	GENERAL MILLS	12OZ	5.19	CAPITAL CANDY
10016000429403	B/C PIE CRUST MIX 12/11 OZ	BETTY CROCKER	11OZ	3.09	CAPITAL CANDY
10017800450079	PURINA CAT CHOW 12/18 OZ	PURINA	18OZ	2.79	CAPITAL CANDY
10018000287946	PILLS READY PIE CRUST 12/14 OZ	PILLS	14OZ	3.49	CAPITAL CANDY
10018700000050	SUE BEE HONEY 12/16 OZ	SUE	16OZ	7.39	CAPITAL CANDY
10019200025222	LYSOL BOWL CLEANER 12/24 OZ	LYSOL	24OZ	3.29	CAPITAL CANDY
10019200026991	BASIN/TUB/TILE TRIG. 12/32OZ	LYSOL	32OZ	5.79	CAPITAL CANDY
10019200028452	SPRAY SPR WATERFALL 12/12 OZ	LYSOL	12OZ	6.59	CAPITAL CANDY
10019600920310	VAN DE KAMP FISH STICK 12/12 OZ	VAN DE KAMP	12OZ	5.09	CAPITAL CANDY
10019800001169	DRANO LIQUID  12/32 OZ	DRANO	32OZ	3.59	CAPITAL CANDY
10019800703438	WINDEX TRIGGER 12/23 OZ	WINDEX	23OZ	5.39	CAPITAL CANDY
10020000176816	GG SPINACH CHOPPED BOX 12/9OZ	GENERAL MILLS	9OZ	2.19	CAPITAL CANDY
10020662000122	BUTTER FLVR POPCORN 12/3 PK	NEWMANS	10OZ	2.79	CAPITAL CANDY
10020662000207	MARINARA SPAG.SCE.12/24 OZ	NEWMANS	24 OZ	3.29	CAPITAL CANDY
10020662000962	NEWMAN SALSA MEDIUM 12/16 OZ.	NEWMAN	16 OZ.	3.49	CAPITAL CANDY
10020662002652	TOM RSTD GARLIC SCE 12/26	NEWMANS	26 OZ	3.29	CAPITAL CANDY
10021000026934	KRAFT MIRACLE WHIP 12/15 OZ	KRAFT	15OZ	5.09	CAPITAL CANDY
10022000265866	SKITTLES MASHUPS 12/7.2 OZ	SKITTLES	7.2 OZ	2.39	CAPITAL CANDY
10022200963692	MENNEN LADY SPEED STICK 1.4 OZ	MENNEN	1OZ	2.59	CAPITAL CANDY
10023100015627	PEDIGREE 22OZ CHICKEN & RICE	PEDIGREE	22OZ	1.99	CAPITAL CANDY
10024000162961	DELMONTE BEAN CUT WAXED 14.5 OZ	DELMONTE	14.5 OZ	2.29	CAPITAL CANDY
10024100226426	CHEEZ-IT ORIG 12/4.5OZ BOX	CHEEZ	4OZ	2.19	CAPITAL CANDY
10024291150104	HOUSEHOLD CANDLES 4 CT	HOUSEHOLD	4 CT	1.99	CAPITAL CANDY
10024600010983	MORTON SALT+PEPPER SET 12/2PK	MORTON	2PK	3.29	CAPITAL CANDY
10025000025610	M MAID LEMONADE 12/12 OZ	MINUTE MAID	12OZ	2.19	CAPITAL CANDY
10025700003301	ZIP LOC STORAGE QT 12/24 CT	ZIP LOC	24CT	3.89	CAPITAL CANDY
10025700003882	ZIP LOC FRZ.BAG QUART 12/19CT	ZIP LOC	19CT	3.99	CAPITAL CANDY
10025700711473	ZIP LOC SAND BAG 12/90CT	ZIP LOC	90CT	4.59	CAPITAL CANDY
10026000013236	ELMER GLUE-ALL 1.25 OZ	ELMER	1.25 OZ	1.09	CAPITAL CANDY
10028500100058	LUCKYLEAF APPLE PIE FIL 12/21 OZ	LUCKYLEAF	21OZ	4.19	CAPITAL CANDY
10029000010069	TRAIL MIX SWT&NUTY POUCH 12/6	PLANT	6OZ	3.29	CAPITAL CANDY
10029000012575	PLANT BIG BAG HR PEANUTS 12/6OZ	PLANT	6OZ	1.99	CAPITAL CANDY
10029000012582	BIG BAG SALTED PEANUTS 12/60Z	PLANT	6OZ	1.99	CAPITAL CANDY
10029000015446	PLANT BIG BAG DRY ROASTED 12/6OZ	PLANT	6OZ	1.99	CAPITAL CANDY
10029000072121	PLANT CAN COCKTL PNUT 12/12 OZ	PLANT	12OZ	4.39	CAPITAL CANDY
10029000072197	TRAIL MIX SPCY NUTS&CJUN STIX	PLANT	6OZ	3.29	CAPITAL CANDY
10029000074368	BIG BAG SALTED CASHEWS 12/3OZ	PLANT	3OZ	2.19	CAPITAL CANDY
10029000074498	BIG BAG H.R. CASHEWS 12/3OZ	PLANT	3OZ	2.19	CAPITAL CANDY
10029000078625	TRAIL MIX NUT&CHOC POUCH 12/6	PLANT	6OZ	3.29	CAPITAL CANDY
10030000050702	AUNT J COMPLETE PC MX 12/2 LB	AUNT	32OZ	3.89	CAPITAL CANDY
10030000316846	QUAKER INST VARIETY PK 12/15 OZ	QUAKER	15OZ	4.49	CAPITAL CANDY
10030771095084	HOT DOGS MCKENZIE MEAT 12/14OZ	HOT	14 OZ	4.99	CAPITAL CANDY
10033400612839	LIGHT N FLUFY WIDE 12/12OZ+B622	NOODLE	12OZ	2.59	CAPITAL CANDY
10034000041302	YORK PEPPERMINT PATTY BG 12	YORK	6OZ	2.79	CAPITAL CANDY
10034000055057	UNSWEET BAKING CHOC 12/4 OZ+B622	HERSHEY	4 OZ	2.59	CAPITAL CANDY
10034000116017	REESE PIECES HNG BAG 12/6 OZ	REESE	6 OZ	2.79	CAPITAL CANDY
10034000134103	HERSHEY KISSES HANGING BG 12/5.3	HERSHEY	5.3 OZ	2.79	CAPITAL CANDY
10034000144003	REESE PNT BUTTER CHIP 12/10 OZ	REESE	10OZ	3.99	CAPITAL CANDY
10034000148308	HERSHEY S/S CHOC CHIP 12/12 OZ	HERSHEY	12.00 OZ	3.89	CAPITAL CANDY
10034000212108	HERSHEY MINITURES HANGING BG 12	HERSHEY	5.3 OZ	2.79	CAPITAL CANDY
10034000376008	ROLO HANGING BG 5.3 OZ 12CT	ROLO	5.3 OZ	2.79	CAPITAL CANDY
10034000446008	MINITURE HANGING BG 12  44600	REESE	5.3 OZ	2.79	CAPITAL CANDY
10034000446114	REESE P/B CUPS SF PEG BAG 44611	REESE	3.0 OZ	3.09	CAPITAL CANDY
10034000470201	REESE PB CUP MINIS POUCH 12/8 OZ	REESE	8 OZ BAG	5.29	CAPITAL CANDY
10034000544001	LICORICE TWIZZLERS 12/7 OZ	LICORICE	7.0 OZ	1.99	CAPITAL CANDY
10034000544025	TWIZZLERS STRAWBERRY 12/7 OZ	TWIZZLERS	7OZ	1.99	CAPITAL CANDY
10034500024371	BE PEAS FROZ POLY BAG 12/13 OZ	BE	13OZ	2.19	CAPITAL CANDY
10036200002503	RAGU SPAG SAUCE PLAIN O/W 23OZ	RAGU	23OZ	3.49	CAPITAL CANDY
10036200003005	RAGU SPAG SAUCE W/MEAT 23OZ.	RAGU	23OZ	3.49	CAPITAL CANDY
10036200003500	RAGU SPAG SAUCE W/MUSH 23OZ	RAGU	23OZ	3.49	CAPITAL CANDY
10036800326771	BABY WIPES UNSCENTED T-C 12/72CT	BABY	1CT	4.49	CAPITAL CANDY
10037000301650	OVERNITE THIN W/WINGS 12/14	ALWAYS	14CT	4.49	CAPITAL CANDY
10037000435157	MR CLEAN MAGIC ERASER 12/2PK	MR CLEAN	2PK	2.69	CAPITAL CANDY
10037000800498	FABRIC SOFT SHEET 12/40 CT	BOUNCE	40CT	3.59	CAPITAL CANDY
10038900008182	DOLE PINEAPPLE JUICE 12/46 OZ	DOLE	46OZ	3.09	CAPITAL CANDY
10038900011021	DOLE PINEAPPLE SLICED 12/20 OZ	DOLE	20OZ	2.29	CAPITAL CANDY
10038900014732	PINEAPPLE CHUNK/JUICE 12/20 OZ	DOLE	20OZ	2.29	CAPITAL CANDY
10038900016132	DOLE PINEAPPLE CRUSHED 12/20OZ	DOLE	20OZ	2.29	CAPITAL CANDY
10039000008003	ORTEGA TACO SHELL 12/12 CT.	ORTEGA	12CT	2.79	CAPITAL CANDY
10039000008904	ORTEGA TACO SAUCE MILD 12/8 OZ.	ORTEGA	8.00 OZ	2.39	CAPITAL CANDY
10039000010129	ORTEGA SOFT TACO DINNER 12/15.2	ORTEGA	15OZ	3.79	CAPITAL CANDY
10039000010952	ORTEGA BEANS REFRIED 12/16 OZ.	ORTEGA	16.00 OZ	2.09	CAPITAL CANDY
10039400016035	BUSH BEST BEANS W/ONIONS 12/28OZ	BUSH	28 OZ	2.89	CAPITAL CANDY
10039400016141	BEST ORIG.BAKED BEAN 12/28 OZ	BUSH	28OZ	2.89	CAPITAL CANDY
10039400019708	BUSH BEST MAPLE CURED BEAN 12/28	BUSH	28OZ	2.89	CAPITAL CANDY
10040000015021	SNICKERS HANGING BAG 12/5 OZ	SNICKERS	5OZ	2.39	CAPITAL CANDY
10040000017315	M&M PLAIN HANGING BAG 12/5.3 OZ	M&M	5.3OZ	2.79	CAPITAL CANDY
10040000017322	M&M PEANUT HANGING BAG 12/5.3 OZ	M&M	5.3OZ	2.79	CAPITAL CANDY
10040000140884	TROP. 12/6.75 OZ HANGING	STARBURST	6OZ	2.39	CAPITAL CANDY
10040000140921	SKITTLES 12/8 OZ	SKITTLES	8OZ	2.39	CAPITAL CANDY
10040000140938	SKITTLES SOUR 12/6 OZ	SKITTLES	6OZ	2.39	CAPITAL CANDY
10040000141140	ORIG 12/7.2 HANGING BAG	STARBURST	7.2OZ	2.39	CAPITAL CANDY
10041000004220	VEG.SOUP/DIP MIX 12/1.8 OZ.	LIPTON	1.8 OZ.	2.29	CAPITAL CANDY
10041000437929	LIPTON TEA BAGS  12/20'S	LIPTON	20CT	1.99	CAPITAL CANDY
10041129020606	PRINCE LASAGNA 12/16 OZ.	PRINCE	16OZ	2.69	CAPITAL CANDY
10041129410285	PRINCE SHELLS MEDIUM 12/16 OZ	PRINCE	16OZ	2.09	CAPITAL CANDY
10041129420482	PRINCE ROTINI 12/16 OZ	PRINCE	16OZ	2.09	CAPITAL CANDY
10041129453176	PRINCE ZITI WITH LINES 12/16 OZ.	PRINCE	16OZ	2.09	CAPITAL CANDY
10041165006312	CUP 9OZ CLR HARD PLSTC 12/40CT	SOLO	40CT	4.69	CAPITAL CANDY
10041196101079	PROG. BALSAMIC VINEGAR 12/12 OZ	PROG	12 OZ	3.09	CAPITAL CANDY
10041196891024	BRD CRUMB ITALIAN SEAS.12/15 OZ.	PROGRESSO	610002	2.29	CAPITAL CANDY
10041196891086	BREAD CRUMBS PLAIN 12/15 OZ	BREAD	15OZ	2.39	CAPITAL CANDY
10041255430782	BLUEBERRY FILLING 12/21 OZ	COMSTOCK	21OZ	6.09	CAPITAL CANDY
10041321006521	W-BONE DELUXE FRENCH 12/8 OZ	W-BONE	8OZ	2.09	CAPITAL CANDY
10041387530107	BREAD CRUMBS PLAIN PANKO 12/8 OZ	BREAD	8OZ	2.49	CAPITAL CANDY
10041390010221	KIKKOMAN TERYAKI SAUCE 12/1O OZ	KIKKOMAN	10OZ	2.59	CAPITAL CANDY
10041419420055	CHEDDAR CHEESE PRETZEL12/6.3	COMBOS	PKT	2.39	CAPITAL CANDY
10041419420079	CHED CHEESE CRACKER 12/6.3	COMBOS	PKT	2.39	CAPITAL CANDY
10041419420086	PEPPERONI PIZZA CRCKR 12/6.3	COMBOS	PKT	2.39	CAPITAL CANDY
10041419420116	BUFFALO BLU CHS PRETZ 12/6.3	COMBOS	PKT	2.29	CAPITAL CANDY
10041570050399	HAB BBQ ALMONDS 12/6OZ	BLUE DIAMOND	6 OZ	5.19	CAPITAL CANDY
10041570052348	WASABI ALMONDS 12/6OZ	BLUE DIAMOND	6 OZ	5.19	CAPITAL CANDY
10041580000032	CHERRY MARACHINO PL 12/10 OZ	CHERRY	10OZ	2.09	CAPITAL CANDY
10041617002275	BAKING POWDER RUMFORD 12/8 OZ	BAKING	8OZ	2.99	CAPITAL CANDY
10042187029266	B-Y CEREAL RAISIN BRAN 12/18 OZ	B-Y	18OZ	3.09	CAPITAL CANDY
10042187211685	HONEY GRAHAM CRACKER 12/16 OZ.	B-Y	16OZ	3.29	CAPITAL CANDY
10042187212262	B-Y SUGAR CONES 12/12 CT	B-Y	1CT	1.69	CAPITAL CANDY
10042187212279	B-Y ICE CREAM CAKE CUP 12/12CT	B-Y	1CT	1.29	CAPITAL CANDY
10042187309597	CUP 16OZ(B-Y TRANS)12/18CT	CUP	16OZ	1.89	CAPITAL CANDY
10042187309672	CUP 16OZ(B-Y PARTY CUP)12/20CT	CUP	20CT	2.49	CAPITAL CANDY
10042187309719	CUP 9OZ B-Y 12/50CT	CUP	50CT	3.79	CAPITAL CANDY
10042187338680	B-Y MAYONNAISE 12/15 OZ	B-Y	15OZ	2.29	CAPITAL CANDY
10042187403103	B-Y TRASH BAG 30 GAL 12/10 CT	B-Y	10CT	2.09	CAPITAL CANDY
10042187403127	TRASH TALL KITCHEN BAG12/15CT	B-Y	15CT	2.19	CAPITAL CANDY
10042187403141	B-Y PLASTIC WRAP 12/100 FT.	B-Y	1CT	1.89	CAPITAL CANDY
10042187403172	SANDWICH BAG RECLOSABLE 12/50CT	B-Y	50CT	1.99	CAPITAL CANDY
10042187404667	B-Y STRAW. PRESERVE 12/18 OZ	B-Y	18OZ	2.79	CAPITAL CANDY
10042187404681	B-Y RASPBERRY PRESERVE 12/18 OZ	B-Y	18OZ	3.69	CAPITAL CANDY
10042187407071	B-Y COCONUT 12/7 OZ	B-Y	7OZ	1.99	CAPITAL CANDY
10042187426072	B-Y BROWNIE MIX 12/18 OZ	B-Y	18 OZ	2.39	CAPITAL CANDY
10042187426560	B-Y CEREAL FROSTED FLAKE 12/15OZ	B-Y	15OZ	2.49	CAPITAL CANDY
10042187426874	B-Y TRASH TALL KITCHEN 12/35 CT.	B-Y	35CT	4.59	CAPITAL CANDY
10042187426881	B-Y TRASH CLEAR KITCHEN 12/35 CT	B-Y	35CT	4.19	CAPITAL CANDY
10042187426911	TRASH LAWN+LEAF BAG12/12CT39GAL	B-Y	1CT	3.99	CAPITAL CANDY
10042187428670	B-Y CEREAL FRUIT RINGS 12/12OZ	B-Y	12OZ	2.79	CAPITAL CANDY
10042187428687	B-Y CEREAL RICE CRISP 12/12 OZ	B-Y	12OZ	2.39	CAPITAL CANDY
10043000057886	SHAKE-N-BAKE CHICK 12/4.5 OZ	SHAKE-N-BAKE	4.5 OZ	3.49	CAPITAL CANDY
10043000951177	COUNTRY TIME LEMONAID 12/20 OZ.	COUNTRY	20OZ	4.59	CAPITAL CANDY
10043100750502	ENVELOPES BX PLAIN 10 INCH 50 CT	ENVELOPES	1CT	2.09	CAPITAL CANDY
10043318130226	GREEN SPRAY CLEANER 12/22OZ	SIMPLE	22OZ	4.79	CAPITAL CANDY
10044000004887	NAB GRAHAM CRACKER 488 14.4OZ	NAB	14OZ	4.79	CAPITAL CANDY
10044000007499	NAB 5 OZ OREO 12CT	NAB	5OZ	2.19	CAPITAL CANDY
10044000027343	NAB NILLA WAFER 2734 11 OZ.	NAB	11OZ	4.79	CAPITAL CANDY
10044000034242	NAB 3.4 OZ RITZ 3424 12CT	NAB	3.4OZ	2.19	CAPITAL CANDY
10044000035515	NAB NUTTER BUTTER 3551 4.8 OZ	NAB	4.8OZ	2.19	CAPITAL CANDY
10044000042254	NAB FIG NEWTON 6.5OZ #4225	NAB	6.5OZ	2.19	CAPITAL CANDY
10044000050983	NAB TRISCUIT 12/8.5OZ	NAB	8.5OZ	4.19	CAPITAL CANDY
10044100103671	HOOD QT 1/2 & 1/2 CREAM	HOOD	QT	2.89	CAPITAL CANDY
10044115008015	HUMMUS CLASSIC ORIG.12/8 OZ	CEDARS	8 OZ	2.79	CAPITAL CANDY
10044224671780	BEN'S 30 ECO SPRAY 12/6OZ	BEN'S	6.00 OZ	7.69	CAPITAL CANDY
10044300125138	LACHOY SOY SAUCE 12/10 OZ	LACHOY	10OZ	2.69	CAPITAL CANDY
10044600016297	CLOROX KITCHEN WIPES 12/32 CT	CLOROX	1CT	3.79	CAPITAL CANDY
10044600307685	BLEACH CONCENTRATE 12/30 OZ	CLOROX	30OZ	2.29	CAPITAL CANDY
10044600339105	LESTOIL 12/28 OZ	LESTOIL	28OZ	4.79	CAPITAL CANDY
10044600711758	LIGHTER FLUID BOTL 12/32	KINGSFORD	32OZ	4.89	CAPITAL CANDY
10044800501012	SWEET-N-LOW GRAN SWTNR 12/50 CT	SWEET	1CT	1.59	CAPITAL CANDY
10046000287321	OEP SOFT TACO DINNER 12/12.5	OEP	12OZ	3.89	CAPITAL CANDY
